timestamp,open,high,low,close,volume,market_cap
2025-09-13,2.637,2.7,2.604,2.682,1239314.16,321108.6
2025-09-14,2.681,2.684,2.507,2.541,1152615.16,200295.99
2025-09-15,2.541,2.579,2.381,2.425,1186905.59,322470.14
2025-09-16,2.425,2.488,2.374,2.473,869244.36,263382.82
2025-09-17,2.473,2.538,2.385,2.522,1065377.69,280362.93
2025-09-18,2.522,2.605,2.508,2.585,912069.06,507838.01
2025-09-19,2.586,2.629,2.425,2.439,1201028.37,515524.52
2025-09-20,2.44,2.478,2.411,2.43,552487.79,274856.37
2025-09-21,2.43,2.467,2.373,2.377,1010106.86,159431.68
2025-09-22,2.377,2.387,2.113,2.205,2487816.28,1448094.13
2025-09-23,2.206,2.25,2.143,2.204,719347.78,284262.64
2025-09-24,2.204,2.256,2.162,2.209,721530.0,207441.64
2025-09-25,2.21,2.212,2.0,2.059,2531189.3,1863532.43
2025-09-26,2.059,2.158,2.044,2.157,2051163.5,358055.48
2025-09-27,2.157,2.182,2.126,2.133,399756.43,213044.35
2025-09-28,2.133,2.191,2.076,2.17,825425.8,391279.79
2025-09-29,2.171,2.172,2.072,2.128,712683.96,409365.83
2025-09-30,2.128,2.133,2.024,2.101,1253940.04,672122.53
2025-10-01,2.102,2.244,2.076,2.229,1142609.24,1562303.99
2025-10-02,2.229,2.304,2.206,2.285,862735.49,289762.76
2025-10-03,2.285,2.339,2.238,2.284,903718.79,432902.39
2025-10-04,2.284,2.29,2.182,2.205,429376.49,229061.82
2025-10-05,2.205,2.299,2.169,2.183,892736.02,340524.99
2025-10-06,2.184,2.361,2.164,2.309,1360419.33,582063.08
2025-10-07,2.31,2.323,2.131,2.139,1310721.76,345893.69
2025-10-08,2.139,2.217,2.087,2.191,807189.33,284514.07
2025-10-09,2.191,2.254,2.07,2.209,2300110.49,539377.39
2025-10-10,2.21,2.254,0.55,1.523,3132970.895,1728962.0
2025-10-11,1.525,1.7,1.469,1.523,3965831.3,823786.99
2025-10-12,1.523,1.734,1.496,1.7,1630333.66,355817.74
2025-10-13,1.7,1.832,1.676,1.813,1630652.77,463636.89
2025-10-14,1.813,1.817,1.628,1.745,2585721.31,413859.31
2025-10-15,1.745,1.794,1.631,1.654,2038680.29,335148.88
2025-10-16,1.654,1.706,1.555,1.587,2289447.5,386113.0
2025-10-17,1.587,1.612,1.465,1.546,1791656.31,242605.64
2025-10-18,1.546,1.585,1.537,1.567,769991.05,651012.52
2025-10-19,1.567,1.616,1.537,1.587,1136843.96,61795.52
2025-10-20,1.587,1.639,1.56,1.591,1521777.22,120734.63
2025-10-21,1.592,1.675,1.528,1.57,1713723.25,114069.6
2025-10-22,1.569,1.585,1.466,1.513,1919028.66,184967.51
2025-10-23,1.512,1.578,1.507,1.567,848549.63,177217.5
2025-10-24,1.568,1.63,1.559,1.607,815098.66,84158.96
2025-10-25,1.609,1.612,1.585,1.6,337763.77,23374.59
2025-10-26,1.599,1.656,1.581,1.636,645456.76,59092.35
2025-10-27,1.638,1.657,1.572,1.574,1276757.15,111128.84
2025-10-28,1.574,1.625,1.506,1.53,1783643.77,607839.57
2025-10-29,1.53,1.586,1.505,1.522,1278990.26,216948.89
2025-10-30,1.523,1.535,1.348,1.405,2385968.55,612059.74
2025-10-31,1.404,1.462,1.4,1.416,1145409.22,226594.52
2025-11-01,1.417,1.459,1.399,1.452,1322758.07,108804.75
2025-11-02,1.452,1.489,1.413,1.468,1099527.19,81394.51
2025-11-03,1.469,1.469,1.212,1.255,3121392.18,354395.69
2025-11-04,1.255,1.285,1.109,1.186,4563242.6,566216.23
2025-11-05,1.186,1.241,1.122,1.219,1647167.75,281898.37
2025-11-06,1.22,1.241,1.137,1.233,2601038.05,489783.52
2025-11-07,1.233,1.53,1.233,1.505,2416650.32,1369413.48
2025-11-08,1.504,1.561,1.397,1.48,2232262.59,594463.31
2025-11-09,1.48,1.481,1.36,1.441,2047874.86,496836.11
2025-11-10,1.44,1.49,1.408,1.471,1382487.33,240107.77
2025-11-11,1.472,1.495,1.349,1.355,1747506.08,264681.18
2025-11-12,1.356,1.428,1.291,1.319,1453924.95,169008.25
2025-11-13,1.319,1.417,1.228,1.277,1890737.84,230898.37
2025-11-14,1.279,1.294,1.211,1.251,1237947.71,156691.82
2025-11-15,1.252,1.303,1.242,1.28,952930.42,87040.16
2025-11-16,1.281,1.308,1.193,1.237,1148665.44,118161.26
2025-11-17,1.235,1.294,1.177,1.213,1410167.18,187301.9
2025-11-18,1.213,1.337,1.192,1.306,3443559.34,428148.68
2025-11-19,1.306,1.354,1.175,1.23,2219406.72,452899.74
2025-11-20,1.23,1.386,1.18,1.204,3923810.12,683952.32
2025-11-21,1.203,1.254,1.079,1.117,4529897.77,795662.65
2025-11-22,1.116,1.117,1.066,1.101,1274066.06,223710.4
2025-11-23,1.101,1.127,1.092,1.097,1051305.48,173224.52
2025-11-24,1.096,1.167,1.079,1.148,1333629.52,379732.6
2025-11-25,1.147,1.161,1.089,1.152,1216954.95,123243.8
2025-11-26,1.152,1.172,1.099,1.158,1450045.52,135140.11
2025-11-27,1.158,1.182,1.146,1.162,879044.89,85552.19
2025-11-28,1.161,1.171,1.122,1.137,2492423.67,77426.46
2025-11-29,1.135,1.148,1.102,1.107,654718.34,51722.22
2025-11-30,1.108,1.12,1.083,1.085,615322.83,41885.18
2025-12-01,1.085,1.087,0.984,1.013,2338985.41,128861.81
2025-12-02,1.013,1.118,0.997,1.092,1418845.18,174418.43
2025-12-03,1.092,1.159,1.089,1.146,2135652.75,154879.76
2025-12-04,1.146,1.154,1.065,1.081,1376470.68,70799.21
2025-12-05,1.08,1.092,1.004,1.028,1344786.76,119671.22
2025-12-06,1.029,1.093,1.02,1.07,2062115.98,169483.17
2025-12-07,1.069,1.083,1.002,1.019,1383187.37,119327.41
2025-12-08,1.019,1.068,1.014,1.044,1100634.89,80546.84
2025-12-09,1.045,1.137,1.018,1.121,3023024.8,156203.9
2025-12-10,1.121,1.135,1.069,1.088,1514800.46,115442.75
2025-12-11,1.087,1.088,1.014,1.051,1712699.47,86082.39
2025-12-12,1.052,1.057,0.977,1.011,1318650.13,135965.16
2025-12-13,1.011,1.021,0.995,1.008,711473.83,23001.09
2025-12-14,1.009,1.015,0.947,0.962,1123119.54,65639.16
2025-12-15,0.963,0.994,0.898,0.926,1203859.99,124740.63
2025-12-16,0.926,0.935,0.89,0.923,1139841.62,84090.34
2025-12-17,0.923,0.942,0.759,0.87,2151919.19,251646.46
2025-12-18,0.87,0.88,0.792,0.809,2849157.97,177046.57
2025-12-19,0.808,0.886,0.789,0.875,1627686.54,187101.86
2025-12-20,0.876,0.885,0.868,0.877,738831.61,53913.37
2025-12-21,0.877,0.879,0.853,0.863,223596.27,272498.6
