timestamp,open,high,low,close,volume,market_cap
2025-09-13,118.03,120.83,117.46,119.22,607528.369,32073746.61
2025-09-14,119.22,119.33,113.93,115.1,648564.327,24292362.44
2025-09-15,115.1,116.76,111.92,113.72,429263.371,23382227.12
2025-09-16,113.72,115.79,112.0,115.03,431559.909,21299834.67
2025-09-17,115.02,117.6,113.13,117.0,496086.817,22274582.73
2025-09-18,117.0,119.11,114.91,118.19,539235.656,27331918.21
2025-09-19,118.19,119.47,113.37,114.04,386381.824,27999682.19
2025-09-20,114.03,115.31,113.4,113.92,178119.592,14097527.76
2025-09-21,113.92,116.27,113.7,114.0,209479.704,14584770.21
2025-09-22,113.99,114.51,102.2,105.65,767675.734,45818453.97
2025-09-23,105.66,107.24,104.39,106.07,329809.938,20164156.86
2025-09-24,106.07,107.69,104.56,105.52,430817.498,26770935.55
2025-09-25,105.52,105.83,100.25,102.28,485830.463,31531882.78
2025-09-26,102.28,104.88,100.97,104.55,245710.217,23776800.16
2025-09-27,104.54,104.96,103.26,104.46,150651.161,11366772.32
2025-09-28,104.47,107.17,102.7,106.88,180118.884,13693487.9
2025-09-29,106.88,107.66,105.3,106.76,268037.084,19294824.49
2025-09-30,106.76,107.61,103.84,106.88,274575.895,21425905.25
2025-10-01,106.87,115.34,105.39,115.1,561526.624,35165934.79
2025-10-02,115.11,122.71,115.11,119.54,1140711.459,89924885.88
2025-10-03,119.54,124.86,115.79,120.56,879533.808,55154770.47
2025-10-04,120.57,121.0,117.42,120.51,290698.143,23196464.42
2025-10-05,120.5,124.17,118.35,118.85,507015.733,34986376.12
2025-10-06,118.85,121.47,118.1,118.32,464570.491,37430323.34
2025-10-07,118.32,119.27,115.16,116.91,422674.282,35693115.5
2025-10-08,116.91,119.6,115.34,118.6,349258.487,23173875.32
2025-10-09,118.61,128.2,115.44,125.9,916537.15,57862829.08
2025-10-10,125.9,135.99,52.71,96.88,1032485.6653333333,209303422.32
2025-10-11,96.87,102.77,90.05,93.34,1148434.1806666667,75799157.31
2025-10-12,93.35,102.16,91.61,98.98,1264382.696,70686425.68
2025-10-13,98.97,101.34,94.81,99.45,1325856.9,82946590.37
2025-10-14,99.46,100.55,91.12,97.33,1285594.754,82304953.21
2025-10-15,97.33,99.97,93.36,95.5,674590.453,51957403.08
2025-10-16,95.5,96.96,89.59,91.79,846143.65,56343241.28
2025-10-17,91.79,93.14,83.36,90.12,1099055.861,62856731.11
2025-10-18,90.11,92.24,89.88,91.69,322080.334,23003367.91
2025-10-19,91.69,94.78,90.72,93.33,356712.683,19117788.84
2025-10-20,93.33,95.79,92.24,94.01,381476.736,23258849.56
2025-10-21,94.0,96.94,91.62,92.46,597066.665,40412878.72
2025-10-22,92.45,94.97,89.91,91.88,613128.16,49434045.86
2025-10-23,91.88,94.79,91.79,94.04,338092.586,18212402.69
2025-10-24,94.04,97.45,93.93,96.45,437003.74,28942503.32
2025-10-25,96.44,97.07,95.67,96.97,178797.931,9736654.19
2025-10-26,96.96,101.02,96.34,100.02,337315.117,19284992.41
2025-10-27,100.02,103.1,98.16,99.39,661778.678,39858793.62
2025-10-28,99.4,106.98,95.33,96.65,1136067.546,569302351.25
2025-10-29,96.64,100.75,95.79,98.53,636748.194,78072099.07
2025-10-30,98.53,99.76,90.37,93.39,689290.89,42589767.12
2025-10-31,93.38,96.3,92.98,95.38,367029.123,27055954.22
2025-11-01,95.38,104.0,95.03,101.38,586785.41,33346513.92
2025-11-02,101.39,101.54,97.5,99.42,466122.873,24800018.51
2025-11-03,99.42,99.79,85.35,87.43,1032684.313,50713943.68
2025-11-04,87.42,91.2,79.68,85.21,1131742.898,50072517.27
2025-11-05,85.2,89.97,82.01,89.39,597946.693,31008431.6
2025-11-06,89.39,89.39,85.3,87.0,495999.412,30883149.83
2025-11-07,87.01,104.85,85.95,101.87,1639946.774,108132451.89
2025-11-08,101.88,107.64,98.02,106.95,1089634.77,59591533.03
2025-11-09,106.95,113.71,98.8,110.31,1080723.3245,143076635.05
2025-11-10,110.3,112.3,103.4,104.25,1071811.879,83943284.8
2025-11-11,104.24,106.99,99.02,99.68,931687.212,54331392.99
2025-11-12,99.69,104.32,94.86,97.59,1173355.162,54476571.78
2025-11-13,97.6,102.75,93.58,96.55,982130.246,47253819.79
2025-11-14,96.54,100.2,93.22,97.7,1072144.18,51697254.31
2025-11-15,97.69,109.59,97.57,101.71,1089472.087,66403771.27
2025-11-16,101.72,103.38,94.15,95.79,723048.093,42537528.97
2025-11-17,95.79,97.94,90.57,91.24,729231.572,50171970.63
2025-11-18,91.25,97.55,90.43,95.66,727888.918,50902438.74
2025-11-19,95.66,95.99,88.86,92.9,603273.923,39299997.88
2025-11-20,92.9,93.82,86.01,87.24,616052.902,26891462.68
2025-11-21,87.23,88.67,80.01,82.64,1109079.314,50256526.87
2025-11-22,82.64,83.9,80.82,82.12,390908.66,19176305.65
2025-11-23,82.11,84.45,81.85,83.09,403125.549,20883866.3
2025-11-24,83.09,87.25,82.19,85.46,507041.997,28463505.45
2025-11-25,85.46,86.76,83.08,85.3,501467.245,22537918.67
2025-11-26,85.29,87.72,83.28,86.87,397790.638,23303993.93
2025-11-27,86.85,87.8,85.97,86.59,271246.188,16121761.12
2025-11-28,86.59,86.77,83.13,84.22,366205.629,20294852.15
2025-11-29,84.22,85.73,83.14,83.95,188495.208,11976819.96
2025-11-30,83.95,84.83,82.27,82.38,173562.982,15232371.97
2025-12-01,82.37,82.5,74.66,77.55,768955.214,32353614.43
2025-12-02,77.56,83.31,77.31,82.79,416570.506,22578500.52
2025-12-03,82.8,86.73,82.5,85.83,501837.773,24924144.01
2025-12-04,85.83,86.77,82.16,83.54,457518.638,18282682.19
2025-12-05,83.54,84.13,79.59,80.38,404693.922,17032780.36
2025-12-06,80.39,82.52,79.9,81.68,271214.908,11231882.01
2025-12-07,81.67,83.76,79.88,81.43,278926.302,15142901.54
2025-12-08,81.43,84.49,81.01,83.87,356631.49,14107768.8
2025-12-09,83.87,87.54,82.47,85.82,438493.075,18282661.03
2025-12-10,85.82,87.09,83.74,84.3,343758.859,16576467.47
2025-12-11,84.3,84.59,80.31,82.93,447190.593,17037822.18
2025-12-12,82.93,84.49,80.5,81.95,300466.28,14172996.14
2025-12-13,81.95,82.45,80.77,81.47,150564.427,8825146.03
2025-12-14,81.47,81.99,77.96,78.96,246089.417,12526480.73
2025-12-15,78.96,81.42,75.74,77.51,377024.701,17346447.92
2025-12-16,77.52,79.89,76.44,79.08,398870.126,15970110.44
2025-12-17,79.07,81.04,75.16,76.01,376262.289,19631250.16
2025-12-18,76.01,78.56,72.64,74.29,475331.443,20235118.45
2025-12-19,74.28,78.02,73.56,77.49,362068.467,15591674.54
2025-12-20,77.49,79.41,76.43,77.84,157890.421,10361965.34
2025-12-21,77.84,78.05,76.81,77.16,49393.181,2902846.2
