timestamp,open,high,low,close,volume,market_cap
2025-09-13,2.611,2.665,2.57,2.597,3422160.62,265399.2
2025-09-14,2.596,2.602,2.507,2.527,3224565.96,61027.71
2025-09-15,2.528,2.558,2.428,2.457,3248510.51,94873.37
2025-09-16,2.456,2.559,2.433,2.543,3099896.48,122445.42
2025-09-17,2.544,2.769,2.524,2.69,10277715.51,219702.17
2025-09-18,2.691,2.792,2.665,2.718,7211808.84,290114.67
2025-09-19,2.718,2.745,2.645,2.705,5952688.77,169472.29
2025-09-20,2.706,3.071,2.635,3.067,18817111.78,1003230.57
2025-09-21,3.068,3.145,2.876,2.898,12916566.39,1048147.78
2025-09-22,2.898,2.914,2.572,2.64,13041911.36,593706.68
2025-09-23,2.64,2.826,2.583,2.771,9110079.79,597044.11
2025-09-24,2.772,2.864,2.727,2.784,7444271.51,852278.96
2025-09-25,2.785,2.788,2.573,2.591,6825912.56,319870.36
2025-09-26,2.592,2.629,2.526,2.604,4220905.72,167527.1
2025-09-27,2.604,2.643,2.578,2.598,3037259.95,100719.38
2025-09-28,2.598,2.646,2.532,2.64,2785978.95,53884.97
2025-09-29,2.641,2.684,2.54,2.592,4777945.03,291804.23
2025-09-30,2.592,2.592,2.475,2.507,3557448.69,157296.89
2025-10-01,2.507,2.612,2.496,2.586,2992536.33,96526.09
2025-10-02,2.586,3.239,2.583,3.095,16672367.16,1821858.64
2025-10-03,3.095,3.745,2.97,3.629,16916248.05,9635248.91
2025-10-04,3.628,3.718,3.329,3.422,17160128.94,3684224.82
2025-10-05,3.423,3.626,3.17,3.233,11005769.52,2374125.11
2025-10-06,3.232,3.933,3.185,3.774,16115485.4925,5760182.58
2025-10-07,3.773,4.012333333333333,3.667,3.7616666666666667,21225201.465,15538089.48
2025-10-08,3.761,4.091666666666667,3.652,3.7493333333333334,26334917.4375,9972522.8
2025-10-09,3.749,4.171,3.637,3.737,31444633.41,8565693.74
2025-10-10,3.737,3.786,1.51,2.851,27736738.675,6909495.49
2025-10-11,2.846,3.006,2.562,2.648,24028843.94,2053203.09
2025-10-12,2.648,3.501,2.57,3.418,29065765.57,5216756.15
2025-10-13,3.418,3.695,3.265,3.644,34102687.2,3768940.89
2025-10-14,3.643,3.888,3.249,3.508,29459834.520000003,5091604.63
2025-10-15,3.507,3.53,2.989,3.025,24816981.840000004,3120346.32
2025-10-16,3.026,3.142,2.86,2.902,20174129.16,2472497.67
2025-10-17,2.902,2.962,2.63,2.844,17344040.39,1467653.17
2025-10-18,2.844,3.002,2.826,2.876,10185171.44,801890.83
2025-10-19,2.876,2.981,2.789,2.899,8947727.17,567163.25
2025-10-20,2.899,3.061,2.837,2.908,15152084.89,796117.32
2025-10-21,2.907,2.952,2.664,2.701,24651557.1,1416538.11
2025-10-22,2.7,2.826,2.601,2.715,14212488.04,1030265.61
2025-10-23,2.715,2.848,2.668,2.752,14917182.18,1548801.39
2025-10-24,2.751,2.784,2.59,2.663,11240289.35,614605.47
2025-10-25,2.662,2.728,2.633,2.703,5201632.6,461366.04
2025-10-26,2.703,2.854,2.676,2.812,7169999.46,789829.44
2025-10-27,2.813,2.873,2.673,2.688,9547575.18,490646.04
2025-10-28,2.688,2.738,2.568,2.614,7808886.57,486839.87
2025-10-29,2.613,2.625,2.489,2.569,8608836.03,391109.61
2025-10-30,2.569,2.623,2.317,2.402,10323997.99,702445.17
