timestamp,open,high,low,close,volume,market_cap
2023-03-28,89.24,89.59,85.56,89.13,881860.674,74231555.02
2023-03-29,89.13,93.0,88.93,91.31,708985.063,63946076.21
2023-03-30,91.31,93.34,86.66,89.06,751300.11,90755204.6
2023-03-31,89.06,90.27,87.23,89.57,489786.451,32753484.55
2023-04-01,89.56,94.32,89.34,92.57,687331.248,30132668.11
2023-04-02,92.57,94.58,90.36,92.77,641228.631,19935873.81
2023-04-03,92.77,95.9,89.51,92.97,909253.989,48771335.04
2023-04-04,92.97,94.12,91.57,92.58,505371.32,32884634.79
2023-04-05,92.57,95.05,91.11,92.64,690226.2,32132168.76
2023-04-06,92.63,92.65,89.82,90.97,385392.357,22369932.95
2023-04-07,90.97,91.48,89.03,90.6,301548.406,14667719.65
2023-04-08,90.6,91.44,89.24,89.91,199093.068,11280174.91
2023-04-09,89.91,91.03,89.13,90.58,253822.749,12167390.13
2023-04-10,90.56,94.47,89.84,93.78,522079.986,23900028.67
2023-04-11,93.78,97.0,93.15,94.22,759225.859,39571877.37
2023-04-12,94.22,94.66,90.87,92.06,713535.198,32891907.42
2023-04-13,92.07,94.54,91.66,94.17,607464.042,20817915.34
2023-04-14,94.18,99.27,93.66,96.33,1044641.036,49492239.72
2023-04-15,96.31,97.32,94.71,96.68,343222.287,14762601.53
2023-04-16,96.69,102.18,95.1,100.01,902441.243,49160767.14
2023-04-17,100.0,100.3,97.32,98.84,692952.157,30920151.64
2023-04-18,98.88,103.44,97.6,101.95,817576.045,37395650.28
2023-04-19,101.93,101.93,87.0,90.47,1258566.956,57116876.15
2023-04-20,90.46,92.4,87.08,90.22,923591.763,41916291.42
2023-04-21,90.22,90.89,84.2,85.32,811762.122,39032902.61
2023-04-22,85.32,87.15,84.75,87.0,413059.798,15607358.94
2023-04-23,87.0,87.09,84.11,86.75,395182.074,19080908.37
2023-04-24,86.74,89.03,85.86,88.31,651422.316,25422803.46
2023-04-25,88.32,91.77,87.18,91.03,767570.935,30305766.88
2023-04-26,91.03,93.96,84.21,88.13,985517.498,60532061.34
2023-04-27,88.14,90.64,87.26,89.73,669510.161,39227627.86
2023-04-28,89.73,90.36,87.66,89.63,464509.676,24546105.01
2023-04-29,89.62,91.64,89.23,91.08,351205.815,14021637.2
2023-04-30,91.08,91.43,87.76,88.22,396494.58,18121313.58
2023-05-01,88.24,88.86,85.13,86.75,537906.62,27734648.74
2023-05-02,86.76,89.18,86.0,88.2,425254.867,21843169.18
2023-05-03,88.2,89.86,85.4,88.88,561552.261,24121394.82
2023-05-04,88.88,89.15,87.39,88.38,317092.93,12917754.36
2023-05-05,88.39,89.69,86.16,88.61,462767.029,22319818.36
2023-05-06,88.62,89.36,80.56,83.26,808799.894,29204819.97
2023-05-07,83.27,84.69,82.93,83.42,405461.481,13507993.2
2023-05-08,83.41,85.25,75.2,77.71,1093958.201,37838936.78
2023-05-09,77.72,80.1,77.31,79.9,652411.76,22591501.64
2023-05-10,79.91,82.04,77.12,80.93,862746.998,35525083.01
2023-05-11,80.93,81.97,78.37,80.88,787875.496,28760534.32
2023-05-12,80.89,81.48,77.07,80.45,770849.129,27917214.96
2023-05-13,80.45,81.09,79.78,80.26,378311.771,12731882.79
2023-05-14,80.26,84.02,79.55,83.5,475081.378,21411681.53
2023-05-15,83.49,88.5,82.14,86.89,1110552.095,42809203.53
2023-05-16,86.91,90.55,86.13,89.99,1212427.879,46324446.55
2023-05-17,89.99,95.0,89.59,93.88,1631954.238,53263459.19
2023-05-18,93.88,94.21,89.15,90.43,778910.547,33649702.8
2023-05-19,90.44,93.31,90.26,91.8,674615.432,28358318.7
2023-05-20,91.78,92.78,90.21,92.42,331961.718,11173126.82
2023-05-21,92.41,93.49,91.14,92.18,434485.442,15647348.3
2023-05-22,92.17,92.79,89.81,90.83,462506.227,17815015.89
2023-05-23,90.83,93.11,90.38,91.7,437608.283,15967098.06
2023-05-24,91.7,91.89,84.33,85.82,1241381.96,37557288.58
2023-05-25,85.83,86.79,82.54,86.57,836219.141,25555386.8
2023-05-26,86.57,88.2,86.05,87.08,684744.479,23933287.34
2023-05-27,87.08,88.81,86.91,88.55,335522.417,11107566.18
2023-05-28,88.56,92.35,88.14,91.45,582851.729,21553427.87
2023-05-29,91.46,92.18,90.12,90.86,484868.109,21840779.08
2023-05-30,90.86,93.3,90.51,92.25,553236.455,24627091.83
2023-05-31,92.25,92.72,87.5,90.42,730322.072,37042469.62
2023-06-01,90.42,95.98,89.17,94.19,1356811.01,47994580.56
2023-06-02,94.17,95.7,92.58,95.45,714015.964,26811624.6
2023-06-03,95.45,97.56,94.15,96.03,596590.884,18375548.86
2023-06-04,96.03,96.5,93.8,94.19,492464.068,19897586.73
2023-06-05,94.19,94.58,83.56,87.71,1320394.36,52809840.88
2023-06-06,87.7,91.47,85.64,90.92,836859.771,37711088.73
2023-06-07,90.93,91.31,87.34,88.85,691677.146,30326045.94
2023-06-08,88.83,89.53,87.19,88.5,405790.611,14401214.74
2023-06-09,88.49,89.98,86.66,89.3,437545.529,23413637.25
2023-06-10,89.3,89.34,73.56,77.13,1931078.315,78606316.29
