timestamp,open,high,low,close,volume,market_cap
2023-03-28,3.585,3.775,3.552,3.629,626577.7,2576117.76
2023-03-29,3.628,3.741,3.607,3.661,882756.67,5163117.06
2023-03-30,3.662,3.729,3.622,3.671,757330.96,6917979.15
2023-03-31,3.672,3.725,3.647,3.704,594079.11,5994484.37
2023-04-01,3.704,3.74,3.686,3.729,595256.31,5721960.04
2023-04-02,3.731,3.802,3.71,3.781,1093244.65,5556425.43
2023-04-03,3.783,3.784,3.605,3.686,1246888.26,5663425.23
2023-04-04,3.686,3.721,3.632,3.654,1009634.38,5734324.89
2023-04-05,3.653,4.0,3.638,3.714,3782829.09,5514919.5
2023-04-06,3.714,3.716,3.647,3.662,947395.27,5464683.93
2023-04-07,3.661,3.711,3.633,3.655,666964.21,3338875.93
2023-04-08,3.655,3.7,3.621,3.64,583534.91,3396050.18
2023-04-09,3.639,3.694,3.602,3.67,904236.12,3443948.98
2023-04-10,3.669,3.707,3.631,3.697,864074.51,3242138.74
2023-04-11,3.697,3.798,3.665,3.674,1539958.71,3155125.85
2023-04-12,3.672,3.683,3.576,3.614,1403681.2,2603719.09
2023-04-13,3.615,3.691,3.572,3.633,2030615.29,2487645.11
2023-04-14,3.633,3.694,3.542,3.624,3726633.09,2876217.15
2023-04-15,3.624,3.68,3.6,3.64,1319782.25,2190630.59
2023-04-16,3.64,3.738,3.622,3.669,2064752.08,2530445.45
2023-04-17,3.668,3.677,3.563,3.586,1849403.23,2033013.16
2023-04-18,3.586,3.657,3.565,3.631,2431079.82,1302509.35
2023-04-19,3.63,3.654,3.401,3.425,2868940.02,1985545.26
2023-04-20,3.424,3.471,3.33,3.358,1440391.04,1603540.73
2023-04-21,3.358,3.479,3.301,3.347,2705163.42,1452121.02
2023-04-22,3.348,3.45,3.336,3.401,1383622.09,1796549.61
2023-04-23,3.401,3.407,3.321,3.348,847872.65,1721830.28
2023-04-24,3.347,3.353,2.811,2.881,8695448.6,2358952.14
2023-04-25,2.881,2.909,2.585,2.77,16541606.49,2568249.86
2023-04-26,2.77,2.777,2.545,2.612,8341500.33,3769736.75
2023-04-27,2.612,2.69,2.562,2.629,5520818.37,2003955.8
2023-04-28,2.629,2.825,2.6,2.755,8529572.84,4477619.57
2023-04-29,2.755,2.764,2.684,2.69,2970505.72,1852153.55
2023-04-30,2.69,2.75,2.666,2.672,2685557.86,2426889.88
2023-05-01,2.672,2.681,2.528,2.548,3353730.78,2909078.73
2023-05-02,2.548,2.554,2.496,2.533,3003006.76,1966394.92
2023-05-03,2.533,2.575,2.501,2.54,3074482.43,1902828.33
2023-05-04,2.54,2.57,2.51,2.511,2087244.8,1591948.9
2023-05-05,2.511,2.54,2.43,2.432,3374435.55,4050714.93
2023-05-06,2.432,2.453,2.187,2.2,7236922.63,4984923.44
2023-05-07,2.2,2.206,2.031,2.036,6325115.59,4088460.7
2023-05-08,2.035,2.055,1.834,1.847,9214751.43,4428293.99
2023-05-09,1.847,1.92,1.836,1.886,4847749.33,3865960.82
2023-05-10,1.886,1.941,1.882,1.92,3540248.12,3615916.0
2023-05-11,1.919,1.924,1.844,1.856,2297571.75,1170410.08
2023-05-12,1.855,1.865,1.769,1.814,3609067.637,613252.74
2023-05-13,1.813,1.858,1.804,1.848,1809028.16,415919.17
2023-05-14,1.848,1.874,1.836,1.856,1700250.1,1018840.26
2023-05-15,1.856,1.883,1.841,1.864,2069204.79,599383.2
2023-05-16,1.864,1.875,1.839,1.86,2165706.43,508446.46
2023-05-17,1.859,1.88,1.835,1.877,2564637.38,575680.54
2023-05-18,1.877,1.886,1.813,1.84,2852882.09,597234.93
2023-05-19,1.84,1.849,1.819,1.831,1970992.94,546346.91
2023-05-20,1.831,1.849,1.817,1.84,896405.88,560691.51
2023-05-21,1.839,1.849,1.8,1.805,1224663.07,538315.78
2023-05-22,1.806,1.826,1.787,1.802,1672485.71,588928.77
2023-05-23,1.801,1.833,1.798,1.807,1453540.71,615839.77
2023-05-24,1.806,1.808,1.631,1.646,4367319.33,808355.61
2023-05-25,1.645,1.648,1.515,1.54,7222547.74,774932.95
2023-05-26,1.541,1.564,1.506,1.556,3615781.98,910249.49
2023-05-27,1.556,1.565,1.535,1.555,2000225.87,446385.1
2023-05-28,1.555,1.704,1.548,1.677,4424319.56,796405.64
2023-05-29,1.676,1.819,1.673,1.706,11203805.39,1545476.81
2023-05-30,1.706,1.749,1.701,1.721,4329379.6,646623.06
2023-05-31,1.72,1.723,1.602,1.635,3949666.74,608024.9
2023-06-01,1.636,1.68,1.609,1.668,2434292.49,516352.2
2023-06-02,1.668,1.779,1.658,1.76,5467558.11,1055611.67
2023-06-03,1.76,1.777,1.738,1.754,3280158.39,543323.05
2023-06-04,1.754,1.762,1.735,1.739,2399437.2,496352.68
2023-06-05,1.74,1.75,1.519,1.571,6576336.65,669922.71
2023-06-06,1.571,1.666,1.546,1.633,4156848.24,558568.17
2023-06-07,1.632,1.636,1.5,1.535,4128563.59,195111.14
2023-06-08,1.535,1.59,1.526,1.564,2326805.33,120973.37
2023-06-09,1.565,1.581,1.535,1.558,1979952.14,93398.51
2023-06-10,1.557,1.558,1.39,1.425,5644821.19,456565.95
2023-06-11,1.426,1.427,1.397,1.402,1980829.1,92311.53
2023-06-12,1.402,1.405,1.302,1.345,5990664.82,28400.24
2023-06-13,1.346,1.42,1.337,1.401,3518493.07,57845.13
2023-06-14,1.401,1.446,1.339,1.359,3527350.59,64229.68
2023-06-15,1.36,1.375,1.322,1.352,3134114.3,91849.81
2023-06-16,1.352,1.421,1.347,1.396,3339723.24,115322.12
2023-06-17,1.397,1.454,1.386,1.425,1696332.06,133324.72
2023-06-18,1.425,1.44,1.396,1.402,1329344.22,93341.08
2023-06-19,1.402,1.409,1.375,1.398,1796977.41,84941.16
2023-06-20,1.398,1.413,1.36,1.411,3034658.78,132878.78
2023-06-21,1.412,1.446,1.399,1.433,5386396.73,135470.91
2023-06-22,1.433,1.49,1.402,1.407,4793032.19,144390.32
2023-06-23,1.407,1.452,1.391,1.434,4439082.17,120640.41
2023-06-24,1.435,1.463,1.377,1.421,4426690.99,116710.28
2023-06-25,1.422,1.653,1.41,1.61,17959193.96,156770.85
2023-06-26,1.61,1.624,1.521,1.534,7567983.02,251877.0
2023-06-27,1.535,1.563,1.525,1.548,3606021.2,147264.88
2023-06-28,1.548,1.55,1.443,1.47,5223782.73,207801.93
2023-06-29,1.468,1.5,1.46,1.487,3054867.5,122665.61
2023-06-30,1.487,1.581,1.476,1.561,6471543.07,69489.49
2023-07-01,1.561,1.612,1.552,1.596,3400352.85,312993.33
2023-07-02,1.595,1.605,1.568,1.579,2979233.02,21729.0
2023-07-03,1.579,1.625,1.575,1.596,4063462.51,301759.06
2023-07-04,1.596,1.598,1.53,1.551,3829552.3,76835.95
2023-07-05,1.551,1.568,1.496,1.513,4909754.12,63099.7
2023-07-06,1.512,1.55,1.452,1.455,3872094.59,72689.87
2023-07-07,1.453,1.48,1.448,1.475,1527086.23,39985.52
2023-07-08,1.474,1.488,1.453,1.469,1630673.34,69532.76
2023-07-09,1.469,1.474,1.45,1.458,1062040.95,185636.39
2023-07-10,1.457,1.527,1.44,1.515,5364893.77,359321.4
2023-07-11,1.515,1.525,1.492,1.503,2293481.99,183618.93
2023-07-12,1.503,1.512,1.46,1.488,2205815.71,27791.17
2023-07-13,1.488,1.591,1.475,1.581,5713188.97,222306.81
2023-07-14,1.581,1.646,1.53,1.554,8124969.55,149245.81
2023-07-15,1.554,1.581,1.53,1.539,2500796.95,229832.22
2023-07-16,1.537,1.545,1.5,1.502,1754868.03,91280.31
2023-07-17,1.501,1.59,1.489,1.549,6831374.02,64811.18
2023-07-18,1.549,1.564,1.504,1.511,3165331.94,85688.28
2023-07-19,1.51,1.533,1.506,1.516,1735739.07,77230.74
2023-07-20,1.516,1.6,1.508,1.541,3355922.7,43550.86
2023-07-21,1.541,1.555,1.533,1.538,1767343.65,36488.14
2023-07-22,1.539,1.555,1.517,1.525,1377207.09,22077.57
2023-07-23,1.525,1.549,1.517,1.536,959705.93,18908.89
2023-07-24,1.535,1.537,1.479,1.497,2255757.6,64605.34
2023-07-25,1.496,1.497,1.47,1.485,1464691.28,102650.41
2023-07-26,1.485,1.488,1.463,1.48,2075652.25,72103.4
2023-07-27,1.479,1.505,1.477,1.496,1476357.28,42052.98
2023-07-28,1.496,1.525,1.489,1.513,2372419.07,164199.5
2023-07-29,1.514,1.519,1.5,1.51,990734.05,66920.93
2023-07-30,1.51,1.512,1.486,1.495,1570247.51,11970.46
2023-07-31,1.495,1.65,1.486,1.549,14437309.0,420827.25
2023-08-01,1.549,1.564,1.521,1.548,5112704.63,49569.71
2023-08-02,1.548,1.59,1.486,1.511,2908446.18,137766.08
2023-08-03,1.51,1.518,1.493,1.508,1546663.54,27881.81
2023-08-04,1.508,1.523,1.497,1.505,1718422.08,170451.74
2023-08-05,1.504,1.505,1.484,1.495,1408183.05,67224.54
2023-08-06,1.496,1.512,1.488,1.489,1719205.32,66962.9
2023-08-07,1.489,1.508,1.466,1.482,2646710.84,51873.64
2023-08-08,1.482,1.518,1.472,1.5,1945965.02,46768.03
2023-08-09,1.5,1.505,1.483,1.491,1637141.27,88525.67
2023-08-10,1.491,1.494,1.467,1.472,1449631.02,30915.17
2023-08-11,1.472,1.476,1.453,1.46,1191507.59,33500.91
2023-08-12,1.46,1.472,1.457,1.459,926832.48,51072.36
2023-08-13,1.459,1.489,1.457,1.472,2545463.26,93371.36
2023-08-14,1.472,1.5,1.464,1.493,2001595.64,219524.84
2023-08-15,1.493,1.5,1.448,1.458,2996314.5,20175.34
2023-08-16,1.457,1.465,1.411,1.425,2390787.17,101915.55
2023-08-17,1.424,1.427,1.305,1.34,4124136.98,101828.78
2023-08-18,1.341,1.35,1.305,1.316,3119478.85,134317.44
2023-08-19,1.316,1.329,1.297,1.321,2248106.03,53179.1
2023-08-20,1.321,1.324,1.293,1.315,1236049.4,42360.01
2023-08-21,1.316,1.325,1.255,1.276,2977101.94,21293.02
2023-08-22,1.277,1.282,1.221,1.242,3510393.7,51868.35
2023-08-23,1.244,1.286,1.242,1.272,2190251.92,89174.17
2023-08-24,1.272,1.295,1.262,1.282,2764467.65,341685.19
2023-08-25,1.281,1.285,1.257,1.28,1601584.91,64624.47
2023-08-26,1.28,1.287,1.265,1.267,1073732.74,5799.49
2023-08-27,1.267,1.281,1.265,1.274,1185951.59,35624.08
2023-08-28,1.273,1.278,1.253,1.276,1445168.92,135396.45
2023-08-29,1.276,1.35,1.261,1.309,3274437.84,148479.49
2023-08-30,1.309,1.313,1.278,1.288,1956820.77,196267.27
2023-08-31,1.288,1.296,1.237,1.245,2814158.42,139495.52
2023-09-01,1.244,1.254,1.217,1.231,1937552.99,37286.33
2023-09-02,1.231,1.242,1.229,1.237,1275716.76,21860.59
2023-09-03,1.237,1.238,1.226,1.23,932151.15,15476.92
2023-09-04,1.231,1.247,1.23,1.239,1895796.98,49370.47
2023-09-05,1.239,1.245,1.227,1.238,1252984.24,23499.01
2023-09-06,1.238,1.251,1.221,1.237,1520440.43,19994.99
2023-09-07,1.237,1.257,1.23,1.254,2294072.69,26921.71
2023-09-08,1.254,1.266,1.229,1.24,1778778.66,33165.42
2023-09-09,1.24,1.246,1.236,1.237,922259.76,9018.09
2023-09-10,1.237,1.237,1.213,1.226,2174788.66,24459.27
2023-09-11,1.225,1.228,1.129,1.14,4918198.81,87296.52
